""	"Raw"	"Qual_filter"	"Derep"	"ASVs R1"	"ASVs R2"	"Merged"	"nonchim"
"SRR9973307"	61238	56423	56423	53214	54060	47209	46873
"SRR9973308"	65958	59325	59325	56999	57474	52025	51707
"SRR9973311"	122571	116246	116246	111918	112948	103622	102786
"SRR9973312"	150078	137894	137894	133813	134762	123947	123332
"SRR9973313"	96706	88578	88578	85107	85761	77183	76842
"SRR9973314"	131358	121263	121263	116233	117465	105367	104924
"SRR9973315"	127931	114013	114013	109954	110855	101823	101378
"SRR9973316"	133608	123728	123728	117921	119176	107390	107120
"SRR9973317"	76198	71092	71092	67462	68113	61062	60827
"SRR9973318"	153202	143395	143395	135604	137332	119767	119194
"SRR9973319"	127720	117848	117848	112759	113807	102575	102184
"SRR9973320"	105038	96289	96289	90569	91604	76907	76450
"SRR9973321"	126323	108604	108604	103720	104614	93603	93261
"SRR9973322"	66907	62999	62999	58920	59661	50459	50196
"SRR9973323"	119793	113294	113294	106783	108135	91510	90817
"SRR9973324"	123804	114898	114898	107470	108960	92715	92446
"SRR9973325"	95129	89703	89703	84038	85449	74298	73844
"SRR9973326"	43274	40920	40920	36610	37833	30835	30607
"SRR9973327"	123081	114886	114886	107294	109004	92372	92067
"SRR9973328"	46403	42596	42596	40353	40861	36226	35869
"SRR9973329"	105061	99083	99083	91761	93308	80811	80550
"SRR9973330"	108327	102103	102103	98002	98989	90823	90328
"SRR9973331"	166637	156688	156688	146768	148918	123370	122954
"SRR9973332"	114434	106915	106915	99307	100923	82257	81751
"SRR9973333"	218383	204668	204668	198389	199862	185194	184437
"SRR9973334"	172638	156573	156573	151668	152719	141351	140989
"SRR9973335"	166924	154924	154924	149754	150902	137411	136936
"SRR9973336"	157748	148526	148526	143369	144429	131606	131074
"SRR9973337"	149606	135874	135874	131444	132540	122717	121686
"SRR9973338"	74402	69768	69768	67292	67910	62220	61935
"SRR9973339"	58135	51788	51788	49536	50028	45547	45203
"SRR9973340"	209410	195599	195599	189853	191223	176825	176345
"SRR9973341"	102849	96884	96884	92938	93833	85362	84873
"SRR9973342"	158793	148628	148628	143144	144009	131640	131153
"SRR9973343"	81385	76468	76468	72951	73719	66338	65991
"SRR9973344"	120588	112110	112110	105735	107263	92270	91880
"SRR9973345"	104059	98585	98585	93674	94973	84351	83653
"SRR9973346"	199153	184650	184650	176788	178654	160684	159883
"SRR9973347"	171654	161075	161075	150916	153277	131895	131564
