SampleID	Sample	ID	Depth	Depth_cm	Site	Sample_type	Date	Location	Temp (°C) int	Salnidad (ppm)int	Salinidad (ppt)int	pH int	pHsup	Redox medido en campo1	Redox mV (Eh)int	Temperatura (°C)sup	Salnidad (ppm)sup	Salinidad (ppt)sup	Redox medido en campo	Redox mV (Eh)sup	S-2 (mg/l) campo	ml de muestra1	Factor de dilucion1	S-2 (mg/l)	ID_M	SO₄²- (mg/l) campo	ml de muestra2	Factor de dilucion2	SO₄ ² (mg/l)
S1A015	S1A015	S1A	1	0-15	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33.0	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1A1530	S1A1530	S1A	2	16-30	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33.0	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1A3050	S1A3050	S1A	3	31-45	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33.0	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1A5075	S1A5075	S1A	4	50-75	Site_1	Sediment	28/09/2023	Dique Miguelito	31.4	817.5	0.82	6.55	7.34	-114	121	33.0	734.7	0.73	-108	127	7.73	25	1	7.73	S1a M	53.7	2	10	537.0
S1B07	S1B07	S1B	1	0-15	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794.0	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S1B2230	S1B2230	S1B	2	16-30	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794.0	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S1B3040	S1B3040	S1B	3	31-45	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794.0	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S1B6575	S1B6575	S1B	4	50-75	Site_1	Sediment	28/09/2023	Dique Miguelito	30.9	794.0	0.79	6.69	7.79	-234	1	33.2	732.8	0.73	-136	99	7.09	25	1	7.09	S1b M	55.0	2	10	550.0
S2A515	S2A515	S2A	1	0-15	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.30	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2A1727	S2A1727	S2A	2	16-30	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.30	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2A3545	S2A3545	S2A	3	31-45	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.30	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2A5060	S2A5060	S2A	4	50-75	Site_2	Sediment	28/09/2023	Dique Miguelito	32.2	741.6	0.74	7.30	7.82	-122	113	34.1	741.1	0.74	-108	127	0.12	25	1	0.12	S2a M	54.5	2	10	545.0
S2B07	S2B07	S2B	1	0-15	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S2B1522	S2B1522	S2B	2	16-30	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S2B3040	S2B3040	S2B	3	31-45	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S2B5565	S2B5565	S2B	4	50-75	Site_2	Sediment	28/09/2023	Dique Miguelito	31.3	757.8	0.76	7.07	7.78	-140	95	33.3	742.9	0.74	-134	101	1.20	25	1	1.20	S2b M	55.3	2	10	553.0
S3A07	S3A07	S3A	1	0-15	Site_3	Sediment	28/09/2023	Dique Miguelito	32.0	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3A1522	S3A1522	S3A	2	16-30	Site_3	Sediment	28/09/2023	Dique Miguelito	32.0	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3A3040	S3A3040	S3A	3	31-45	Site_3	Sediment	28/09/2023	Dique Miguelito	32.0	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3A6070	S3A6070	S3A	4	50-75	Site_3	Sediment	28/09/2023	Dique Miguelito	32.0	818.2	0.82	6.71	7.79	-281	-46	33.5	752.1	0.75	-117	118	6.34	25	1	6.34	S3a M	36.4	2	10	364.0
S3B515	S3B515	S3B	1	0-15	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S3B2030	S3B2030	S3B	2	16-30	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S3B3545	S3B3545	S3B	3	31-45	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S3B6070	S3B6070	S3B	4	50-75	Site_3	Sediment	28/09/2023	Dique Miguelito	32.1	767.9	0.77	6.91	7.63	-220	15	32.7	752.8	0.75	-201	34	2.14	25	1	2.14	S3b M	49.5	2	10	495.0
S4B07	S4B07	S4B	1	0-15	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S4B1522	S4B1522	S4B	2	16-30	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S4B3040	S4B3040	S4B	3	31-45	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S4B5565	S4B5565	S4B	4	50-75	Site_4	Sediment	29/09/2023	La Piedad	31.4	816.5	0.82	6.83	7.85	-214	21	32.6	726.6	0.73	-111	124	3.66	25	1	3.66	S4b M	54.4	2	10	544.0
S5A07	S5A07	S5A	1	0-15	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5A1522	S5A1522	S5A	2	16-30	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5A3040	S5A3040	S5A	3	31-45	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5A5565	S5A5565	S5A	4	50-75	Site_5	Sediment	29/09/2023	La Piedad	31.9	757.6	0.76	6.91	7.89	-263	-28	32.6	726.1	0.73	-195	40	8.34	25	1	8.34	S5a M	46.8	2	10	468.0
S5B07	S5B07	S5B	1	0-15	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725.0	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S5B1522	S5B1522	S5B	2	16-30	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725.0	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S5B3040	S5B3040	S5B	3	31-45	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725.0	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S5B5060	S5B5060	S5B	4	50-75	Site_5	Sediment	29/09/2023	La Piedad	31.5	754.6	0.75	7.04	7.96	-212	23	32.8	725.0	0.73	-146	89	2.28	25	1	2.28	S5b M	53.4	2	10	534.0
S6A07	S6A07	S6A	1	0-15	Site_6	Sediment	30/09/2023	El Cacahuate	28.3	442.6	0.44	6.86	6.90	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
S6A1522	S6A1522	S6A	2	16-30	Site_6	Sediment	30/09/2023	El Cacahuate	28.3	442.6	0.44	6.86	6.90	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
S6A3040	S6A3040	S6A	3	31-45	Site_6	Sediment	30/09/2023	El Cacahuate	28.3	442.6	0.44	6.86	6.90	-170	65	27.5	435.6	0.44	-165	70	1.07	25	1	1.07	S6a M	78.1	5	4	312.4
S6B07	S6B07	S6B	1	0-15	Site_6	Sediment	30/09/2023	El Cacahuate	28.4	467.6	0.47	6.80	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214.0
S6B1522	S6B1522	S6B	2	16-30	Site_6	Sediment	30/09/2023	El Cacahuate	28.4	467.6	0.47	6.80	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214.0
S6B3040	S6B3040	S6B	3	31-45	Site_6	Sediment	30/09/2023	El Cacahuate	28.4	467.6	0.47	6.80	6.91	-165	70	27.5	438.6	0.44	-183	52	0.01	25	1	0.01	S6b M	53.5	5	4	214.0
S7A07	S7A07	S7A	1	0-15	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.70	7.53	-190	45	31.0	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7A1522	S7A1522	S7A	2	16-30	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.70	7.53	-190	45	31.0	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7A3040	S7A3040	S7A	3	31-45	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.70	7.53	-190	45	31.0	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7A5060	S7A5060	S7A	4	50-75	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	356.8	0.36	6.70	7.53	-190	45	31.0	348.4	0.35	-116	119	0.18	25	1	0.18	S7a M	37.9	5	4	151.6
S7B07	S7B07	S7B	1	0-15	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150.0
S7B1522	S7B1522	S7B	2	16-30	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150.0
S7B3040	S7B3040	S7B	3	31-45	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150.0
S7B5060	S7B5060	S7B	4	50-75	Site_7	Sediment	30/09/2023	El Cacahuate	30.6	355.1	0.36	6.99	7.52	-136	99	30.6	349.6	0.35	-100	135	0.21	25	1	0.21	S7b M	37.5	5	4	150.0
