	reads.in	reads.out	percentage	version
S1A015_1.fastq.gz	342327	304350	88.9062212445995	v5:260-200
S1A1530_1.fastq.gz	353082	317482	89.9173563081664	v5:260-200
S1A3050_1.fastq.gz	253549	224633	88.5954983060473	v5:260-200
S1A5075_1.fastq.gz	258518	232697	90.011914064011	v5:260-200
S1B07_1.fastq.gz	320547	286743	89.4542765959438	v5:260-200
S1B2230_1.fastq.gz	381400	343553	90.0768222338752	v5:260-200
S1B3040_1.fastq.gz	286283	253735	88.6308303322237	v5:260-200
S1B6575_1.fastq.gz	352640	320005	90.7455195099818	v5:260-200
S2A1727_1.fastq.gz	330795	299212	90.4523949878323	v5:260-200
S2A3545_1.fastq.gz	328144	294199	89.6554561412063	v5:260-200
S2A5060_1.fastq.gz	395326	355911	90.0297476007143	v5:260-200
S2A515_1.fastq.gz	261496	236649	90.4981338146664	v5:260-200
S2B07_1.fastq.gz	286496	257889	90.0148693175472	v5:260-200
S2B1522_1.fastq.gz	309385	279690	90.4019264023789	v5:260-200
S2B3040_1.fastq.gz	340093	305751	89.9021738171618	v5:260-200
S2B5565_1.fastq.gz	220967	198285	89.7351188186471	v5:260-200
S3A07_1.fastq.gz	233674	207147	88.6478598389209	v5:260-200
S3A1522_1.fastq.gz	259804	232620	89.5367276870256	v5:260-200
S3A3040_1.fastq.gz	229482	203028	88.4722984809266	v5:260-200
S3A6070_1.fastq.gz	177807	160260	90.1314346454301	v5:260-200
S3B2030_1.fastq.gz	357597	322096	90.0723440073602	v5:260-200
S3B3545_1.fastq.gz	321667	287923	89.5096481765304	v5:260-200
S3B6070_1.fastq.gz	1074036	971009	90.4074909965774	v5:260-200
S4B07_1.fastq.gz	381507	345187	90.479860133628	v5:260-200
S4B1522_1.fastq.gz	219117	198625	90.6479186918404	v5:260-200
S4B3040_1.fastq.gz	326041	293421	89.9951233127122	v5:260-200
S4B5565_1.fastq.gz	331626	300810	90.707604349478	v5:260-200
S5A07_1.fastq.gz	337694	300905	89.1058176929409	v5:260-200
S5A1522_1.fastq.gz	253669	227163	89.5509502540713	v5:260-200
S5A3040_1.fastq.gz	347506	307848	88.5878229440643	v5:260-200
S5A5565_1.fastq.gz	160683	144886	90.1688417567509	v5:260-200
S5B07_1.fastq.gz	304182	275145	90.4540702605677	v5:260-200
S5B1522_1.fastq.gz	318445	291202	91.4449905007144	v5:260-200
S5B3040_1.fastq.gz	519530	470139	90.4931380286028	v5:260-200
S5B5060_1.fastq.gz	407409	368802	90.5237734070676	v5:260-200
S6A07_1.fastq.gz	339106	303854	89.6044304730674	v5:260-200
S6A1522_1.fastq.gz	304546	274684	90.1945847261169	v5:260-200
S6A3040_1.fastq.gz	281949	252152	89.4317766688302	v5:260-200
S6B07_1.fastq.gz	437642	394003	90.0286078575639	v5:260-200
S6B1522_1.fastq.gz	304421	274893	90.3002749481803	v5:260-200
S6B3040_1.fastq.gz	288026	256281	88.9784255588037	v5:260-200
S7A07_1.fastq.gz	382789	340610	88.9811358215623	v5:260-200
S7A1522_1.fastq.gz	292933	261810	89.3753861804577	v5:260-200
S7A3040_1.fastq.gz	395227	350223	88.6131261275166	v5:260-200
S7A5060_1.fastq.gz	141888	128459	90.5354927830401	v5:260-200
S7B07_1.fastq.gz	268133	234484	87.4506308436485	v5:260-200
S7B1522_1.fastq.gz	340074	308083	90.592929774108	v5:260-200
S7B5060_1.fastq.gz	264737	238942	90.2563676403374	v5:260-200
